Month,Ticker,ESG_Rating,ESG_Score
1,GNW,BB,4.2
1,GOOGL,AA,7.9
1,GPC,BBB,4.4
1,GPI,BBB,4.6
1,GPMT,BB,3.5
1,GPN,B,1.5
1,GPS,AA,7.2
1,GRMN,A,6.2
1,GRUB,BB,4.1
1,GS,BBB,4.5
1,GT,BBB,4.8
1,GTLS,BBB,5.2
1,GTY,B,1.9
1,GVA,AA,7.7
1,GWB,A,6.2
1,GWW,AA,8.4
1,HA,BBB,5.6
1,HAE,BBB,5.2
1,HAFC,BB,4.2
1,HAIN,BBB,5.1
1,HAL,BBB,5.7
1,HALO,BBB,4.4
1,HAS,AA,8.56
1,HAYN,B,1.5
1,HBAN,BB,3.7
1,HBI,AA,7.4
1,HCA,A,6
1,HCC,B,1.8
1,HCI,B,2.4
1,HCSG,A,5.9
1,HD,AA,8.5
1,HE,A,6.2
1,HELE,A,6.9
1,HES,AA,8.5
1,HFC,BB,3.8
1,HFWA,BBB,4.6
1,HI,BBB,4.5
1,HIBB,A,5.9
1,HIG,BB,4
1,HII,A,6.9
1,HIW,B,1.9
1,HLIT,A,6
1,HLT,BBB,4.3
1,HLX,BB,3.8
1,HMN,BB,3.3
1,HMST,A,7.1
1,HMSY,BBB,5.2
1,HNGR,A,6.3
1,HNI,BBB,5.7
1,HOG,BBB,5.5
1,HOLX,BBB,4.8
1,HOMB,B,1.7
1,HON,AA,7.4
1,HOPE,BB,3.3
1,HP,B,1.5
1,HPE,AA,8
1,HPP,BB,3
1,HPQ,A,6.8
1,HQY,BB,3.4
1,HR,B,1.6
1,HRB,BB,4.2
1,HRC,BBB,5.2
1,HRL,A,7.1
1,HSC,BB,3.7
1,HSIC,AAA,10
1,HSII,BBB,5.2
1,HSKA,A,5.8
1,HST,A,6.5
1,HSTM,B,1.5
1,HSY,BBB,5.1
1,HTLD,BBB,5.5
1,HUBB,BBB,4.7
1,HUBG,AA,7.7
1,HUM,BBB,5.1
1,HVT,BBB,5.4
1,HWC,BB,4.2
1,HWKN,B,2.6
1,HWM,BBB,5.3
1,HXL,A,6.6
1,HZO,A,6.4
1,IART,B,2.7
1,IBKR,B,2.4
1,IBM,AA,8.5
1,IBOC,A,5.8
1,IBP,B,2.7
1,IBTX,B,2.5
1,ICE,BBB,5.7
1,ICHR,BBB,4.5
1,ICUI,B,2.1
1,IDA,A,7
1,IDCC,BBB,5.6
1,IDXX,AA,8.2
1,IEX,A,6.5
1,IFF,AA,7.7
1,IIIN,CCC,0
1,IIPR,B,2.4
1,IIVI,B,1.7
1,ILMN,BB,3.3
1,ILPT,B,2.7
1,INCY,B,2.4
1,INDB,BB,3.7
1,INFO,AA,7.9
1,INGN,BB,4.2
1,INGR,A,6.6
1,INN,B,1.6
1,INT,BBB,5.6
1,INTC,A,6.5
1,INTU,AA,8.5
1,INVA,BB,3.3
1,IOSP,BBB,5.1
1,IP,BBB,5.2
1,IPAR,B,2.1
1,IPG,BBB,4.5
1,IPGP,B,1.7
1,IQV,A,5.8
1,IR,BB,4.2
1,IRBT,AA,8.5
1,IRDM,BB,3.9
1,IRET,B,1.9
1,IRM,AA,7.9
1,IRT,B,2.7
1,ISRG,B,2.7
1,IT,BB,4.1
1,ITGR,BB,3.6
1,ITRI,A,7
1,ITT,A,7.1
1,ITW,A,6.8
1,IVR,BB,2.9
1,IVZ,A,6.8
1,J,A,6.2
1,JACK,BBB,5.2
1,JAZZ,A,6.1
1,JBGS,BBB,4.3
1,JBHT,BB,3.9
1,JBL,BB,3
1,JBSS,B,2.6
1,JBT,BBB,5.2
1,JCI,AAA,10
1,JCOM,BB,2.9
1,JEF,B,2
1,JJSF,B,2.6
1,JKHY,BBB,5.6
1,JLL,A,7
1,JNJ,BBB,5.6
1,JNPR,BBB,5.6
1,JOE,BBB,5.5
1,JPM,BB,2.9
1,JRVR,B,1.5
1,JW.A,A,6.8
1,JWN,A,6.9
1,K,AAA,8.6
1,KALU,BB,3.6
1,KAMN,BB,3.9
1,KAR,AA,7.8
1,KBH,A,6.9
1,KBR,BB,3.5
1,KELYA,AA,7.3
1,KEX,CCC,0
1,KEY,A,6.7
1,KEYS,AA,8.3
1,KFY,A,6.7
1,KHC,BB,3.7
1,KIM,BBB,5.7
1,KLAC,BB,3.5
1,KLIC,A,6.1
1,KMB,AA,8.5
1,KMI,BB,4.2
1,KMPR,B,2.6
1,KMT,BBB,4.5
